DS_Name,Date,age,case
Dedougou,2017-04-01,u5,6250
Dedougou,2018-04-01,ov5,3246
Dedougou,2018-04-01,u5,3273
Dedougou,2015-05-01,ov5,3373
Dedougou,2015-05-01,u5,0
Dedougou,2016-05-01,ov5,3120
Dedougou,2016-05-01,u5,2266
Dedougou,2017-05-01,ov5,3679
Dedougou,2017-05-01,u5,3924
Dedougou,2018-05-01,ov5,2864
Dedougou,2018-05-01,u5,2737
Dedougou,2015-06-01,ov5,3232
Dedougou,2015-06-01,u5,0
Dedougou,2016-06-01,ov5,4050
Dedougou,2016-06-01,u5,4604
Dedougou,2017-06-01,ov5,4239
Dedougou,2017-06-01,u5,4795
Dedougou,2018-06-01,ov5,3159
Dedougou,2018-06-01,u5,3381
Dedougou,2015-07-01,ov5,3672
Dedougou,2015-07-01,u5,0
Dedougou,2016-07-01,ov5,7078
Dedougou,2016-07-01,u5,10981
Dedougou,2017-07-01,ov5,12083
Dedougou,2017-07-01,u5,18309
Dedougou,2018-07-01,ov5,6415
Dedougou,2018-07-01,u5,7999
Dedougou,2015-08-01,ov5,8779
Dedougou,2015-08-01,u5,0
Dedougou,2016-08-01,ov5,11657
Dedougou,2016-08-01,u5,9389
Dedougou,2017-08-01,ov5,18785
Dedougou,2017-08-01,u5,10985
Dedougou,2018-08-01,ov5,15411
Dedougou,2018-08-01,u5,12113
Dedougou,2015-09-01,ov5,11124
Dedougou,2015-09-01,u5,171
Dedougou,2016-09-01,ov5,12047
Dedougou,2016-09-01,u5,10857
Dedougou,2017-09-01,ov5,12638
Dedougou,2017-09-01,u5,11556
Dedougou,2018-09-01,ov5,15039
Dedougou,2018-09-01,u5,12297
Dedougou,2015-10-01,ov5,11289
Dedougou,2015-10-01,u5,0
Dedougou,2016-10-01,ov5,17748
Dedougou,2016-10-01,u5,17506
Dedougou,2017-10-01,ov5,15541
Dedougou,2017-10-01,u5,13098
Dedougou,2018-10-01,ov5,15741
Dedougou,2018-10-01,u5,14111
Dedougou,2015-11-01,ov5,11077
Dedougou,2015-11-01,u5,70
Dedougou,2016-11-01,ov5,10627
Dedougou,2016-11-01,u5,9241
Dedougou,2017-11-01,ov5,13320
Dedougou,2017-11-01,u5,11418
Dedougou,2018-11-01,ov5,15118
Dedougou,2018-11-01,u5,12920
Dedougou,2015-12-01,ov5,5250
Dedougou,2015-12-01,u5,0
Dedougou,2016-12-01,ov5,5610
Dedougou,2016-12-01,u5,7731
Dedougou,2017-12-01,ov5,5745
Dedougou,2017-12-01,u5,7162
Dedougou,2018-12-01,ov5,9640
Dedougou,2018-12-01,u5,11900
Nouna,2015-01-01,ov5,3645
Nouna,2015-01-01,u5,0
Nouna,2016-01-01,ov5,4496
Nouna,2016-01-01,u5,3079
Nouna,2017-01-01,ov5,6637
Nouna,2017-01-01,u5,7723
Nouna,2018-01-01,ov5,7989
Nouna,2018-01-01,u5,9138
Nouna,2015-02-01,ov5,3675
Nouna,2015-02-01,u5,0
Nouna,2016-02-01,ov5,4281
Nouna,2016-02-01,u5,2944
Nouna,2017-02-01,ov5,6586
Nouna,2017-02-01,u5,8171
Nouna,2018-02-01,ov5,6348
Nouna,2018-02-01,u5,6730
Nouna,2015-03-01,ov5,2995
Nouna,2015-03-01,u5,0
Nouna,2016-03-01,ov5,3758
Nouna,2016-03-01,u5,2309
Nouna,2017-03-01,ov5,5136
Nouna,2017-03-01,u5,5826
Nouna,2018-03-01,ov5,2947
